SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),3035 62nd Ave N,ST PETERSBURG,FL,33702,100000,3,3.0,WASHINGTON TERRACE,960,4988,1936,7,104,,Active,,,http://www.redfin.com/FL/St-Petersburg/3035-62nd-Ave-N-33702/home/48229498,Stellar MLS,T3307593,N,Y,27.828644,-82.674671
MLS Listing,,Multi-Family (2-4 Unit),3047 62nd Ave N,ST PETERSBURG,FL,33702,200000,4,2.0,WASHINGTON TERRACE,1276,4988,1953,7,157,,Active,,,http://www.redfin.com/FL/St-Petersburg/3047-62nd-Ave-N-33702/home/48229497,Stellar MLS,T3307583,N,Y,27.828644,-82.6748305
MLS Listing,,Multi-Family (2-4 Unit),6605 48th Ave N,ST PETERSBURG,FL,33709,399900,6,2.0,AIRY ACRES 4,1728,6817,1958,33,231,,Active,,,http://www.redfin.com/FL/St-Petersburg/6605-48th-Ave-N-33709/home/47933272,Stellar MLS,U8120830,N,Y,27.815735,-82.729669
MLS Listing,,Multi-Family (2-4 Unit),2151 Oakley Ave S,ST PETERSBURG,FL,33712,265000,5,2.0,TANGERINE CENTRAL,1596,3785,1925,71,166,,Active,,,http://www.redfin.com/FL/St-Petersburg/2151-Oakley-Ave-S-33712/home/48128552,Stellar MLS,T3296071,N,Y,27.7555375,-82.6619056
MLS Listing,,Multi-Family (2-4 Unit),2753 53rd Ave N,ST PETERSBURG,FL,33714,265000,2,2.0,GROVE PARK VISTA SUB,1255,3737,1950,71,211,,Active,,,http://www.redfin.com/FL/St-Petersburg/2753-53rd-Ave-N-33714/home/47891850,Stellar MLS,T3296075,N,Y,27.8206073,-82.6710227
MLS Listing,,Multi-Family (5+ Unit),379 47th Ave N #106,ST PETERSBURG,FL,33703,265000,3,3.0,PARKLANE CONDO,1665,180000,1973,322,159,228,Active,,,http://www.redfin.com/FL/St-Petersburg/379-47th-Ave-N-33703/unit-106/home/47936585,Stellar MLS,U8090215,N,Y,27.8153197,-82.6375589
For-Sale-by-Owner Listing,,Multi-Family (2-4 Unit),4247 11th Ave N,St. Petersburg,FL,33713,450000,4,2.0,Saint Petersburg,1708,12057,1950,13,263,,Active,,,http://www.redfin.com/FL/St-Petersburg/4247-11th-Ave-N-33713/home/48028228,Fizber.com,11438148,N,Y,27.78293,-82.6913532
PAST SALE,April-12-2021,Multi-Family (2-4 Unit),1419 54th St S,GULFPORT,FL,33707,327000,3,2.0,PASADENA HEIGHTS,1426,5724,1974,44,229,,Sold,,,http://www.redfin.com/FL/Gulfport/1419-54th-St-S-33707/home/48155072,Stellar MLS,U8117044,N,Y,27.7564614,-82.706719
PAST SALE,May-5-2021,Multi-Family (2-4 Unit),1550 32nd Ave N,ST PETERSBURG,FL,33704,295000,,,SUMMIT PARK,1280,6325,1952,21,230,,Sold,,,http://www.redfin.com/FL/St-Petersburg/1550-32nd-Ave-N-33704/home/47998093,Stellar MLS,U8117370,N,Y,27.8009737,-82.654635
PAST SALE,,Multi-Family (2-4 Unit),2120 1st St N,St. Petersburg,FL,33704,665000,,1.0,,1284,5506,1958,,518,,,,,http://www.redfin.com/FL/St-Petersburg/2120-1st-St-N-33704/home/48054169,,,N,Y,27.7919788,-82.6345814
PAST SALE,,Multi-Family (2-4 Unit),4346 37th St N,St. Petersburg,FL,33714,178000,,1.0,,719,12955,1949,,248,,,,,http://www.redfin.com/FL/St-Petersburg/4346-37th-St-N-33714/home/47901317,,,N,Y,27.8118158,-82.683846
PAST SALE,,Multi-Family (2-4 Unit),939 21st Ave S,St. Petersburg,FL,33705,115000,,1.0,,728,6351,1925,,158,,,,,http://www.redfin.com/FL/St-Petersburg/939-21st-Ave-S-33705/home/48127001,,,N,Y,27.749618,-82.647407
PAST SALE,May-7-2021,Multi-Family (2-4 Unit),4530 DR Martin Luther King JR St N,ST PETERSBURG,FL,33703,310000,1,1.0,MONTICELLO PARK,1280,10568,1957,19,242,,Sold,,,http://www.redfin.com/FL/St-Petersburg/4530-Dr-M-L-K-Jr-St-N-33703/home/47884367,Stellar MLS,U8119585,N,Y,27.8132336,-82.6470993
PAST SALE,April-16-2021,Multi-Family (2-4 Unit),5101 9th Ave S,GULFPORT,FL,33707,309900,3,2.0,ARDMORE HEIGHTS,1612,6351,1947,40,192,,Sold,,,http://www.redfin.com/FL/Gulfport/5101-9th-Ave-S-33707/home/48153811,Stellar MLS,U8116314,N,Y,27.7616664,-82.7025537
PAST SALE,,Multi-Family (2-4 Unit),2835 6th Ave S,St. Petersburg,FL,33712,145000,,2.0,,1300,3737,1960,,112,,,,,http://www.redfin.com/FL/St-Petersburg/2835-6th-Ave-S-33712/home/48105009,,,N,Y,27.7652387,-82.6718559
PAST SALE,March-25-2021,Multi-Family (2-4 Unit),1031 15th St S,ST PETERSBURG,FL,33705,234600,4,2.0,COLUMBIA HEIGHTS 3,1606,4848,1948,62,146,,Sold,,,http://www.redfin.com/FL/St-Petersburg/1031-15th-St-S-33705/home/48126529,Stellar MLS,U8105371,N,Y,27.7599947,-82.6539354
PAST SALE,,Multi-Family (2-4 Unit),2311 8th Ave N,St. Petersburg,FL,33713,345000,,1.0,,941,6451,1941,,367,,,,,http://www.redfin.com/FL/St-Petersburg/2311-8th-Ave-N-33713/home/48015914,,,N,Y,27.7803377,-82.664779
PAST SALE,,Multi-Family (2-4 Unit),780 27th Ave N,St. Petersburg,FL,33704,340000,,2.0,,1116,6425,1949,,305,,,,,http://www.redfin.com/FL/St-Petersburg/780-27th-Ave-N-33704/home/47949692,,,N,Y,27.796388,-82.644364
PAST SALE,May-14-2021,Multi-Family (2-4 Unit),1064 11th Ave N,ST PETERSBURG,FL,33705,350000,3,2.0,HODGSON,920,6399,1920,12,380,,Sold,,,http://www.redfin.com/FL/St-Petersburg/1064-11th-Ave-N-33705/home/48006925,Stellar MLS,U8119135,N,Y,27.782844,-82.6493781
PAST SALE,March-8-2021,Multi-Family (2-4 Unit),3738 67th Ave N,PINELLAS PARK,FL,33781,249900,,,SUNSET VIEW,1536,6734,1982,79,163,,Sold,,,http://www.redfin.com/FL/Pinellas-Park/3738-67th-Ave-N-33781/home/48220286,Stellar MLS,U8111072,N,Y,27.8326284,-82.684331
PAST SALE,April-27-2021,Multi-Family (2-4 Unit),7101 59th St N,PINELLAS PARK,FL,33781,250000,4,2.0,PINELLAS PARK,1200,7126,1953,29,208,,Sold,,,http://www.redfin.com/FL/Pinellas-Park/7101-59th-St-N-33781/home/48152972,Stellar MLS,U8117896,N,Y,27.8369321,-82.7140803
PAST SALE,April-9-2021,Multi-Family (2-4 Unit),5229 11th Ave S,GULFPORT,FL,33707,319000,3,2.0,GULF GROVE,1250,8307,1957,47,255,,Sold,,,http://www.redfin.com/FL/Gulfport/5229-11th-Ave-S-33707/home/48154522,Stellar MLS,T3279230,N,Y,27.7593634,-82.7049724
PAST SALE,March-16-2021,Multi-Family (2-4 Unit),7460 34th St N,PINELLAS PARK,FL,33781,255500,,,GANBRIDGE HUB,1242,5445,1972,71,206,,Sold,,,http://www.redfin.com/FL/Pinellas-Park/7460-34th-St-33781/home/48143241,Stellar MLS,U8111553,N,Y,27.8401601,-82.6799655
PAST SALE,,Multi-Family (2-4 Unit),350 80th Ave,St Pete Beach,FL,33706,430000,,3.0,,1742,6251,1948,,247,,,,,http://www.redfin.com/FL/St-Pete-Beach/350-80th-Ave-33706/home/48240851,,,N,Y,27.746525,-82.7524026
PAST SALE,May-19-2021,Multi-Family (2-4 Unit),6835 48th Ave N,ST PETERSBURG,FL,33709,303500,4,2.0,AIRY ACRES 2,1352,6799,1972,7,224,,Sold,,,http://www.redfin.com/FL/St-Petersburg/6835-48th-Ave-N-33709/home/47933377,Stellar MLS,U8118387,N,Y,27.815741,-82.733319
PAST SALE,February-25-2021,Multi-Family (2-4 Unit),500 23rd Ave S,ST PETERSBURG,FL,33705,152000,,,HARBORDALE SUB,1188,6582,1940,90,128,,Sold,,,http://www.redfin.com/FL/St-Petersburg/500-23rd-Ave-S-33705/home/48193892,Stellar MLS,T3280649,N,Y,27.7472111,-82.6396716
PAST SALE,,Multi-Family (2-4 Unit),1911 2nd Ave N,St. Petersburg,FL,33713,325000,,1.5,,1412,6351,1930,,230,,,,,http://www.redfin.com/FL/St-Petersburg/1911-2nd-Ave-N-33713/home/48115516,,,N,Y,27.7731214,-82.6592519
PAST SALE,,Multi-Family (2-4 Unit),2805 10th Ave N,St. Petersburg,FL,33713,170000,,2.0,,1132,6961,1941,,150,,,,,http://www.redfin.com/FL/St-Petersburg/2805-10th-Ave-N-33713/home/48016127,,,N,Y,27.7821943,-82.6714446
PAST SALE,,Multi-Family (2-4 Unit),5700 Dr M.L.K. Jr St N,St. Petersburg,FL,33703,40000,,2.0,,1272,5201,1950,,31,,,,,http://www.redfin.com/FL/St-Petersburg/5700-Dr-M-L-K-Jr-St-N-33703/home/48237853,,,N,Y,27.8240728,-82.6471415
PAST SALE,,Multi-Family (2-4 Unit),150 51st St N,St. Petersburg,FL,33710,219000,,2.0,,1074,8102,1954,,204,,,,,http://www.redfin.com/FL/St-Petersburg/150-51st-St-N-33710/home/48086520,,,N,Y,27.772502,-82.702637
PAST SALE,April-1-2021,Multi-Family (2-4 Unit),7391 34th St N #7391,PINELLAS PARK,FL,33781,228000,4,2.0,E 120FT OF W 150FT OF S 63.5FT OF N 230.83FT OF SW,1296,7614,1981,55,176,,Sold,,,http://www.redfin.com/FL/Pinellas-Park/7391-34th-St-N-33781/unit-7391/home/174220631,Stellar MLS,U8110500,N,Y,27.83872,-82.6794029
PAST SALE,March-26-2021,Multi-Family (2-4 Unit),6002 72nd Ave N,PINELLAS PARK,FL,33781,232000,4,2.0,PINELLAS PARK,1154,9261,1949,61,201,,Sold,,,http://www.redfin.com/FL/Pinellas-Park/6002-72nd-Ave-N-33781/home/48152962,Stellar MLS,U8095310,N,Y,27.8378529,-82.7159304
PAST SALE,,Multi-Family (2-4 Unit),7391 34th St N,Pinellas Park,FL,33781,228000,,2.0,,1296,7614,1981,,176,,,,,http://www.redfin.com/FL/Pinellas-Park/7391-34th-St-N-33781/home/48135489,,,N,Y,27.83872,-82.6794029
PAST SALE,,Multi-Family (2-4 Unit),2631 15th Ave N,St. Petersburg,FL,33713,320000,,3.0,,1676,6874,1951,,191,,,,,http://www.redfin.com/FL/St-Petersburg/2631-15th-Ave-N-33713/home/48015671,,,N,Y,27.7867114,-82.6698837
PAST SALE,April-20-2021,Multi-Family (2-4 Unit),6511 76th Ave N,PINELLAS PARK,FL,33781,314900,4,2.0,PINELLAS PARK 1ST ADD,1418,6011,1958,36,222,,Sold,,,http://www.redfin.com/FL/Pinellas-Park/6511-76th-Ave-N-33781/home/48162626,Stellar MLS,U8107415,N,Y,27.8405337,-82.7266428
PAST SALE,May-19-2021,Multi-Family (2-4 Unit),3800 2nd Ave N,ST PETERSBURG,FL,33713,350000,4,3.0,CENTRAL AVE HEIGHTS,1641,6347,1946,7,213,,Sold,,,http://www.redfin.com/FL/St-Petersburg/3800-2nd-Ave-N-33713/home/48094987,Stellar MLS,T3300053,N,Y,27.7726183,-82.6849847
PAST SALE,,Multi-Family (2-4 Unit),29 Westwood Ter N,St. Petersburg,FL,33710,245000,,2.0,,1620,14397,1951,,151,,,,,http://www.redfin.com/FL/St-Petersburg/29-Westwood-Ter-N-33710/home/48067988,,,N,Y,27.7716941,-82.7330915
PAST SALE,May-12-2021,Multi-Family (2-4 Unit),1605 23rd Ave N,ST PETERSBURG,FL,33713,352500,4,2.0,WOODHURST SUB,1216,5776,1925,14,290,,Sold,,,http://www.redfin.com/FL/St-Petersburg/1605-23rd-Ave-N-33713/home/47998823,Stellar MLS,U8115694,N,Y,27.7930839,-82.6552435
PAST SALE,May-18-2021,Multi-Family (2-4 Unit),1115 Highland St N,ST PETERSBURG,FL,33701,510000,4,3.0,MILLERS P L,1372,5467,1925,8,372,,Sold,,,http://www.redfin.com/FL/St-Petersburg/1115-Highland-St-N-33701/home/48054207,Stellar MLS,U8115750,N,Y,27.7829849,-82.6453988
PAST SALE,May-4-2021,Multi-Family (2-4 Unit),117 25th St N,ST PETERSBURG,FL,33713,285000,4,3.0,ST PETERSBURG INVESTMENT CO SUB,1454,2252,1922,22,196,,Sold,,,http://www.redfin.com/FL/St-Petersburg/117-25th-St-N-33713/home/48105847,Stellar MLS,U8114705,N,Y,27.7724729,-82.6669834
PAST SALE,,Multi-Family (2-4 Unit),6526 42nd Ave N,Kenneth City,FL,33709,235000,,2.0,,1440,8965,1959,,163,,,,,http://www.redfin.com/FL/Kenneth-City/6526-42nd-Ave-N-33709/home/47922939,,,N,Y,27.8097545,-82.7273699
PAST SALE,March-8-2021,Multi-Family (2-4 Unit),3734 67th Ave N,PINELLAS PARK,FL,33781,249900,,,SUNSET VIEW,1536,6730,1982,79,163,,Sold,,,http://www.redfin.com/FL/Pinellas-Park/3734-67th-Ave-N-33781/home/48220285,Stellar MLS,U8110442,N,Y,27.8326195,-82.6841623
PAST SALE,April-30-2021,Multi-Family (2-4 Unit),2834 Freemont Ter S,ST PETERSBURG,FL,33712,178000,4,2.0,EAST ROSELAWN,1304,3650,1959,26,137,,Sold,,,http://www.redfin.com/FL/St-Petersburg/2834-Freemont-Ter-S-33712/home/48104959,Stellar MLS,A4494404,N,Y,27.764082,-82.671858
PAST SALE,,Multi-Family (2-4 Unit),5300 5th Ave S,St. Petersburg,FL,33707,215000,,1.0,,1393,11522,1925,,154,,,,,http://www.redfin.com/FL/St-Petersburg/5300-5th-Ave-S-33707/home/48084679,,,N,Y,27.766208,-82.7059013
